Date,Description,Out,In
6/21/2024,cauliflower,396.00,
6/21/2024,egg,250.00,
6/21/2024,broccoli,395.00,
6/21/2024,tomato,190.00,
6/21/2024,potato,380.00,
6/21/2024,mint,90.00,
6/21/2024,corriander,180.00,
6/21/2024,strawberry,380.00,
6/21/2024,grapes,290.00,
6/21/2024,jap. cucumber,170.00,
6/21/2024,mango,280.00,
6/21/2024,pomelo,210.00,
6/21/2024,orange,120.00,
6/21/2024,apple,150.00,
6/21/2024,french beans,150.00,
6/21/2024,lemon ,150.00,
6/21/2024,spring onion,65.00,
6/21/2024,alugbati,45.00,
6/21/2024,mushroom,180.00,
6/21/2024,spinach,160.00,
6/21/2024,celery,168.00,
6/21/2024,avocado,250.00,
6/21/2024,dragon fruits,195.00,
6/21/2024,mustard,60.00,
6/21/2024,tanigui,980.00,
6/21/2024,pampano,650.00,
6/21/2024,tilapya ,480.00,
6/21/2024,salmon,900.00,
6/21/2024,talakitok,780.00,
6/21/2024,ara angkas PRA,120.00,
6/21/2024,Ritual del fee,147.00,
6/21/2024,ara angkas PRA,225.00,
6/21/2024,Elmer ,1000.00,
6/21/2024,ara food allowance,1000.00,
6/21/2024,michelle food allowance,1000.00,
6/21/2024,mam B,60.00,
6/22/2024,playdate lunch,650.00,
6/22/2024,del fee mercury drug,150.00,
6/22/2024,metro mart exceed,100.00,
6/23/2024,withdraw,,5000.00
6/24/2024,Ara Holiday,650.00,
6/24/2024,michelle holiday,650.00,
6/25/2024,virex fee check up,500.00,
6/26/2024,alessi grab,200.00,
6/26/2024,bernard berries,950.00,
6/27/2024,kosher salt,295.00,
6/28/2024,withdraw ,,19000.00
6/28/2024,tennis,3000.00,
6/28/2024,knife sharpening,850.00,
6/28/2024,rider,250.00,
6/28/2024,milk ,828.00,
6/28/2024,ground beef,1557.00,
6/28/2024,pork loin,724.00,
6/28/2024,olives,392.00,
6/28/2024,ham,148.00,
6/28/2024,yougurt,380.00,
6/28/2024,playdate lunch,1025.00,
6/28/2024,flowers,550.00,
6/28/2024,romaine,580.00,
6/28/2024,cucumber,350.00,
6/28/2024,celery,165.00,
6/28/2024,egg,380.00,
6/28/2024,tomato,130.00,
6/28/2024,broccoli,365.00,
6/28/2024,corriander,160.00,
6/28/2024,basil,175.00,
6/28/2024,mint,75.00,
6/28/2024,leeks,75.00,
6/28/2024,onion,230.00,
6/28/2024,potato,380.00,
6/28/2024,snow peas,75.00,
6/28/2024,carrots,210.00,
6/28/2024,zucchini,420.00,
6/28/2024,cabbage,100.00,
6/28/2024,banana,190.00,
6/28/2024,apple,150.00,
6/28/2024,ponkan,90.00,
6/28/2024,grapes,230.00,
6/28/2024,spring onion,60.00,
6/28/2024,spinach,130.00,
6/28/2024,chili,70.00,
6/28/2024,pomelo,210.00,
6/28/2024,squash,168.00,
6/28/2024,sayote,130.00,
6/28/2024,luya,70.00,
6/28/2024,bockhoy,70.00,
6/28/2024,garlic,90.00,
6/28/2024,cherry tomato,160.00,
6/28/2024,lemon ,120.00,
6/28/2024,dragon fruits,195.00,
6/28/2024,pinya,190.00,
6/28/2024,cauliflower,260.00,
6/28/2024,asparagus,390.00,
6/28/2024,french beans,120.00,
6/28/2024,pampano,580.00,
6/28/2024,tilapya ,430.00,
6/28/2024,prawns,1550.00,
6/28/2024,talakitok,730.00,
6/29/2024,withdraw,,10000.00
6/29/2024,elmer,1000.00,
6/29/2024,plant shop & taxi,3100.00,
6/29/2024,fertilizer,900.00,
6/29/2024,ara food allowance,1000.00,
6/29/2024,michelle food allowance,1000.00,
6/29/2024,mam B,60.00,
6/29/2024,ARC,600.00,
6/29/2024,Summit,820.00,
6/29/2024,True Value Pool Bulb,973.00,
