Date,Description,Category,Prediction_Confidence,Amount (Negated),Amount
7/5/2024,broccoli,Expenses:Food:Groceries,0.6376039867565829,360.0,
7/5/2024,egg,Expenses:Food:Groceries,0.6489006359244262,250.0,
7/5/2024,prawn,Expenses:Food:Groceries,0.5924523540346852,1480.0,
7/5/2024,asparagus,Expenses:Food:Groceries,0.6364435440143089,450.0,
7/5/2024,wansoy,Expenses:Food:Groceries,0.6322049800030323,210.0,
7/5/2024,flowers,Expenses:Food:Groceries,0.45044621873335516,550.0,
7/5/2024,tilapia,Expenses:Food:Groceries,0.6038410567447209,420.0,
7/5/2024,talakitok,Expenses:Food:Groceries,0.5924523540346852,750.0,
7/5/2024,pampano,Expenses:Food:Groceries,0.6252822794539807,580.0,
7/5/2024,ara food allowance,Liabilities:Other:Ara Loan:Allowance,0.5611199053677839,1000.0,
7/5/2024,michelle food allowance,Liabilities:Other:Michelle Loan:Allowance,0.5612781665356757,1000.0,
7/5/2024,knife sharpening,Expenses:Professional Fees,0.6340039084947334,750.0,
7/5/2024,ARC,Expenses:Utilities:Drinking Water,0.6407363408356618,480.0,
7/6/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,9000.0
7/6/2024,shadow food & litter,Expenses:Household Supplies:Pet Expenses,0.5995707239625471,3420.0,
7/6/2024,soda stream + delfee,Expenses:Professional Fees,0.33635530358162447,1890.0,
7/6/2024,bernard berries ,Expenses:Food:Groceries,0.6302538266578473,900.0,
7/6/2024,nuts ,Expenses:Food:Groceries,0.6316959121836884,1350.0,
7/6/2024,nuts del fee,Expenses:Professional Fees,0.42658685995618867,300.0,
7/7/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,6000.0
7/7/2024,arguilla LCD phone change,Expenses:Food:Groceries,0.43044907008021843,2000.0,
7/8/2024,EPS Healthy Option,Assets:Current Assets:Cash Local:EPS,0.48562856542463106,,3019.0
7/8/2024,EPS Healthy Option,Assets:Current Assets:Cash Local:EPS,0.48562856542463106,3019.0,
7/8/2024,healthy option alessi,Expenses:Health:Alternative,0.49931888018381726,2120.0,
7/8/2024,taxi,Expenses:Transportation:Public,0.6392320491484723,100.0,
7/8/2024,summit water,Expenses:Utilities:Drinking Water,0.6465248417155145,2015.0,
7/8/2024,EPS Mercury Drug,Expenses:Health:Medicines,0.4577594956736459,,1160.0
7/8/2024,EPS Mercury Drug,Expenses:Health:Medicines,0.4577594956736459,1160.0,
7/8/2024,SM supermarket veggies,Expenses:Food:Groceries,0.5924523540346852,820.0,
7/9/2024,mam B Handihaler,Expenses:Transportation:Parking,0.3883036069432881,305.0,
7/9/2024,del fee,Expenses:Professional Fees,0.6300617423654198,150.0,
7/9/2024,shopee container,Expenses:Food:Groceries,0.29849039349630363,160.0,
7/9/2024,mam B tip,Expenses:Food:Groceries,0.2134639315740534,1000.0,
7/11/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,10000.0
7/11/2024,albert couch,Expenses:Food:Groceries,0.5924523540346852,10000.0,
7/12/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,18000.0
7/12/2024,true value sponge cloth,Expenses:Household Supplies,0.5907114825849832,1020.0,
7/12/2024,elmer x3,Expenses:Food:Groceries,0.39897605104609585,3000.0,
7/12/2024,michelle food allowance,Liabilities:Other:Michelle Loan:Allowance,0.5612781665356757,3000.0,
7/12/2024,pomelo,Expenses:Food:Groceries,0.6369720964470865,189.0,
7/12/2024,orange,Expenses:Food:Groceries,0.6391385150699627,100.0,
7/12/2024,banana,Expenses:Food:Groceries,0.6406178881980913,159.0,
7/12/2024,romaine,Expenses:Food:Groceries,0.6381910941511871,720.0,
7/12/2024,pipino,Expenses:Food:Groceries,0.6299748458072685,391.0,
7/12/2024,celery,Expenses:Food:Groceries,0.6412761117381017,260.0,
7/12/2024,apple,Expenses:Food:Groceries,0.5331196049042378,150.0,
7/12/2024,prawn,Expenses:Food:Groceries,0.5924523540346852,1500.0,
7/12/2024,tilapya,Expenses:Food:Groceries,0.6185930199065388,510.0,
7/12/2024,talakitok,Expenses:Food:Groceries,0.5924523540346852,760.0,
7/12/2024,pampano,Expenses:Food:Groceries,0.6252822794539807,610.0,
7/12/2024,arguilla charger,Expenses:Food:Groceries,0.5924523540346852,420.0,
7/16/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,16000.0
7/16/2024,albert couch ,Expenses:Food:Groceries,0.5924523540346852,4000.0,
7/16/2024,willy salary,Expenses:Professional Fees,0.5804169113646417,500.0,
7/16/2024,seams stress,Expenses:Food:Groceries,0.5924523540346852,1000.0,
7/16/2024,aircon cleaning,Expenses:Housing:Repairs,0.43884347353384784,5100.0,
7/18/2024,lalamove vacuum,Expenses:Professional Fees,0.6027412839393982,250.0,
7/19/2024,lalamove seamstress,Expenses:Professional Fees,0.6027412839393982,120.0,
7/19/2024,shadow grab,Expenses:Household Supplies:Pet Expenses,0.47682176766659173,800.0,
7/31/2024,withdraw,Assets:Current Assets:Banks Local:BPI ATM House,0.5840672974627652,,15000.0
7/31/2024,shadow cat hotel extra fee,Expenses:Household Supplies:Pet Expenses,0.32140807380803355,2400.0,
7/31/2024,honey,Expenses:Food:Groceries,0.6196704404274344,2250.0,
7/31/2024,dry cat food,Expenses:Childcare:Toys,0.4565531914879701,1157.0,
7/31/2024,landmark ,Expenses:Household Supplies,0.48438886263690106,1324.0,
7/31/2024,ara angkas,Expenses:Transportation:Public,0.6280715356689689,200.0,
7/31/2024,alessi healthy option,Expenses:Health:Alternative,0.49931888018381726,2160.0,
7/31/2024,santis rider,Expenses:Professional Fees,0.6082954488492883,250.0,
7/31/2024,ground pork,Expenses:Food:Groceries,0.6359681426163365,920.0,
7/31/2024,ground beef,Expenses:Food:Groceries,0.63028428414777,515.0,
7/31/2024,yoghurt,Expenses:Food:Groceries,0.5924523540346852,420.0,
7/31/2024,gouda cheese,Expenses:Food:Groceries,0.6412673503945413,370.0,
7/31/2024,amlife amplodipine,Expenses:Food:Groceries,0.5924523540346852,735.0,
7/31/2024,crestor,Expenses:Food:Groceries,0.5924523540346852,1028.0,
7/31/2024,rolly salary,Expenses:Professional Fees,0.4146740646915614,3000.0,
7/31/2024,car van tip,Expenses:Transportation:Registration,0.5842220599133902,500.0,
7/31/2024,santis rider,Expenses:Professional Fees,0.6082954488492883,250.0,
7/31/2024,tomatoes,Expenses:Food:Groceries,0.5924523540346852,83.0,
7/31/2024,pork neck,Expenses:Food:Groceries,0.6359681426163365,1033.0,
7/31/2024,milk,Expenses:Food:Groceries,0.6581732737363323,276.0,
7/31/2024,romaine,Expenses:Food:Groceries,0.6381910941511871,164.0,
7/31/2024,farmers ham,Expenses:Food:Groceries,0.6381585435097096,79.0,
7/31/2024,manchego,Expenses:Food:Groceries,0.6165888140325886,333.0,
7/31/2024,youghurt,Expenses:Food:Groceries,0.5924523540346852,228.0,
7/31/2024,parmesan,Expenses:Food:Groceries,0.5924523540346852,414.0,
7/31/2024,mozarella,Expenses:Food:Groceries,0.5924523540346852,392.0,
7/31/2024,calamansi,Expenses:Food:Groceries,0.6425132450633156,1020.0,
7/31/2024,cucumber,Expenses:Food:Groceries,0.6363742061727651,180.0,
7/31/2024,tomatoes,Expenses:Food:Groceries,0.5924523540346852,90.0,
7/31/2024,romaine,Expenses:Food:Groceries,0.6381910941511871,250.0,
7/31/2024,hotdog bread,Expenses:Food:Groceries,0.6295404716942298,180.0,
7/31/2024,nasonex alessi,Expenses:Childcare:Clothes,0.33098401852970905,1994.0,
7/31/2024,medicol,Expenses:Food:Groceries,0.5924523540346852,130.0,
