Date,Description,Amount (Negated),Amount,Category
9/6/2024,kalabasa,150.00,,Expenses:Food:Groceries
9/6/2024,asparagus,360.00,,Expenses:Food:Groceries
9/6/2024,dragon fruit,180.00,,Expenses:Food:Groceries
9/6/2024,spring onion,50.00,,Expenses:Food:Groceries
9/6/2024,white onion,160.00,,Expenses:Food:Groceries
9/6/2024,ginger,80.00,,Expenses:Food:Groceries
9/6/2024,pampano,710.00,,Expenses:Food:Groceries
9/6/2024,prawn,1700.00,,Expenses:Food:Groceries
9/6/2024,tilapiya,520.00,,Expenses:Food:Groceries
9/6/2024,talakitok,780.00,,Expenses:Food:Groceries
9/6/2024,elmer salary,1000.00,,Expenses:Professional Fees
9/6/2024,shadow food,1120.00,,Expenses:Household Supplies:Pet Expenses
9/6/2024,taxi,100.00,,Expenses:Transportation:Public
9/6/2024,ara food allowance,1000.00,,Liabilities:Other:Ara Loan:Allowance
9/6/2024,michelle food allowance,1000.00,,Liabilities:Other:Michelle Loan:Allowance
9/7/2024,summit,1315.00,,Expenses:Utilities:Drinking Water
9/7/2024,ARC,360.00,,Expenses:Utilities:Drinking Water
9/7/2024,bacon,324.00,,Expenses:Food:Groceries
9/7/2024,buns burger,110.00,,Expenses:Food:Groceries
9/8/2024,food processor,185.00,,Expenses:Professional Fees
9/9/2024,rider,250.00,,Expenses:Professional Fees
9/9/2024,milk,552.00,,Expenses:Food:Groceries
9/9/2024,pork neck,480.00,,Expenses:Food:Groceries
9/9/2024,tuna,611.00,,Expenses:Food:Groceries
9/10/2024,shopee extension,700.00,,Expenses:Childcare:School Supplies
9/10/2024,lalamove vacuum del fee,350.00,,Expenses:Professional Fees
9/10/2024,butter anchor,624.00,,Expenses:Food:Groceries
9/13/2024,withdraw,,20000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/13/2024,santis rider,250.00,,Expenses:Professional Fees
9/13/2024,milk,828.00,,Expenses:Food:Groceries
9/13/2024,feta cheese,230.00,,Expenses:Food:Groceries
9/13/2024,pork neck,522.00,,Expenses:Food:Groceries
9/13/2024,manchego,407.00,,Expenses:Food:Groceries
9/13/2024,truffle cheese,432.00,,Expenses:Food:Groceries
9/13/2024,farmers ham,375.00,,Expenses:Food:Groceries
9/13/2024,knife sharpening,750.00,,Expenses:Professional Fees
9/13/2024,tennis,3000.00,,Expenses:Health:Sports
9/13/2024,berocca,330.00,,Expenses:Health:Medicines
9/13/2024,EPS H.O,,1225.00,Expenses:Health:Alternative
9/13/2024,EPS Healthy Option,1225.00,,Expenses:Health:Alternative
9/13/2024,mam b,100.00,,Expenses:Transportation:Parking
9/13/2024,flower,550.00,,Expenses:Food:Groceries
9/13/2024,cucumber,330.00,,Expenses:Food:Groceries
9/13/2024,romaine,580.00,,Expenses:Food:Groceries
9/13/2024,tomato,210.00,,Expenses:Food:Groceries
9/13/2024,mint,100.00,,Expenses:Food:Groceries
9/13/2024,basil,120.00,,Expenses:Food:Groceries
9/13/2024,pomelo,220.00,,Expenses:Food:Groceries
9/13/2024,pinya,210.00,,Expenses:Food:Groceries
9/13/2024,apple,150.00,,Expenses:Food:Groceries
9/13/2024,orange,150.00,,Expenses:Food:Groceries
9/13/2024,cherry tomato,160.00,,Expenses:Food:Groceries
9/13/2024,broccoli,360.00,,Expenses:Food:Groceries
9/13/2024,potato,310.00,,Expenses:Food:Groceries
9/13/2024,carrots,280.00,,Expenses:Food:Groceries
9/13/2024,white onion,160.00,,Expenses:Food:Groceries
9/13/2024,celery,260.00,,Expenses:Food:Groceries
9/13/2024,spinach,250.00,,Expenses:Food:Groceries
9/13/2024,banana,210.00,,Expenses:Food:Groceries
9/13/2024,avocado,380.00,,Expenses:Food:Groceries
9/13/2024,upo,120.00,,Expenses:Food:Groceries
9/13/2024,corn,110.00,,Expenses:Food:Groceries
9/13/2024,french beans,130.00,,Expenses:Food:Groceries
9/13/2024,bell pepper red & green,210.00,,Expenses:Food:Groceries
9/13/2024,ponkan,150.00,,Expenses:Food:Groceries
9/13/2024,grapes,280.00,,Expenses:Food:Groceries
9/13/2024,lemon,150.00,,Expenses:Food:Groceries
9/13/2024,pomelo,190.00,,Expenses:Food:Groceries
9/13/2024,bokchoy,100.00,,Expenses:Food:Groceries
9/13/2024,wansoy,150.00,,Expenses:Food:Groceries
9/13/2024,tanglad,100.00,,Expenses:Food:Groceries
9/13/2024,labanos,120.00,,Expenses:Food:Groceries
9/13/2024,dragon fruit,180.00,,Expenses:Food:Groceries
9/13/2024,pampano,620.00,,Expenses:Food:Groceries
9/13/2024,maya maya,700.00,,Expenses:Food:Groceries
9/13/2024,salmon,950.00,,Expenses:Food:Groceries
9/13/2024,tilapiya,460.00,,Expenses:Food:Groceries
9/14/2024,elmer salary,1000.00,,Expenses:Professional Fees
9/14/2024,rubber bands,160.00,,Expenses:Household Supplies
9/14/2024,withdraw,,10000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/14/2024,general photo alessi,250.00,,Expenses:Childcare:Clothes
9/14/2024,island photo alessi,250.00,,Expenses:Childcare:Clothes
9/14/2024,ice cream alessi,55.00,,Expenses:Food:Groceries
9/14/2024,ara food allowance,1000.00,,Liabilities:Other:Ara Loan:Allowance
9/14/2024,michelle food allowance,1000.00,,Liabilities:Other:Michelle Loan:Allowance
9/14/2024,shopee wipe rugs,160.00,,Expenses:Childcare:School Supplies
9/14/2024,Summit,1315.00,,Expenses:Utilities:Drinking Water
9/14/2024,Bega cheese,1840.00,,Expenses:Food:Groceries
9/14/2024,sponge cloth,320.00,,Expenses:Household Supplies
9/14/2024,rice 10 kg,1084.00,,Expenses:Food:Groceries
9/16/2024,Mam B Gym Renewal,500.00,,Expenses:Health:Sports
9/16/2024,calamansi,250.00,,Expenses:Food:Groceries
9/16/2024,strainer,350.00,,Expenses:Household Supplies
9/16/2024,coat repair,500.00,,Expenses:Professional Fees
9/18/2024,alessi snack,160.00,,Expenses:Food:Groceries
9/18/2024,island photo alessi,250.00,,Expenses:Childcare:Clothes
9/18/2024,alessi ipad case exceed,590.00,,Expenses:Gadgets
9/18/2024,EPS Landmark,,1012.00,Expenses:Food:Groceries
9/18/2024,Landmark salad,1012.00,,Expenses:Food:Groceries
9/19/2024,withdraw,,20000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/19/2024,asparagus,1076.00,,Expenses:Food:Groceries
9/19/2024,milk,415.00,,Expenses:Food:Groceries
9/19/2024,yougurt,456.00,,Expenses:Food:Groceries
9/19/2024,pork neck,589.00,,Expenses:Food:Groceries
9/19/2024,farmers ham,410.00,,Expenses:Food:Groceries
9/19/2024,santis rider,250.00,,Expenses:Professional Fees
9/19/2024,alessi halloween registration,200.00,,Expenses:Childcare:Extracurricular Activities
9/19/2024,nuts,1400.00,,Expenses:Food:Groceries
9/19/2024,nuts del fee,300.00,,Expenses:Professional Fees
9/20/2024,flower,550.00,,Expenses:Food:Groceries
9/20/2024,broccoli,390.00,,Expenses:Food:Groceries
9/20/2024,romaine,580.00,,Expenses:Food:Groceries
9/20/2024,kalabasa,130.00,,Expenses:Food:Groceries
9/20/2024,mint,100.00,,Expenses:Food:Groceries
9/20/2024,basil,120.00,,Expenses:Food:Groceries
9/20/2024,wansoy,280.00,,Expenses:Food:Groceries
9/20/2024,zuchinni,320.00,,Expenses:Food:Groceries
9/20/2024,strawberry,380.00,,Expenses:Food:Groceries
9/20/2024,blueberries,450.00,,Expenses:Food:Groceries
9/20/2024,banana,198.00,,Expenses:Food:Groceries
9/20/2024,cherry tomato,160.00,,Expenses:Food:Groceries
9/20/2024,cucumber,330.00,,Expenses:Food:Groceries
9/20/2024,apple,150.00,,Expenses:Food:Groceries
9/20/2024,kiwi,50.00,,Expenses:Food:Groceries
9/20/2024,grapes,260.00,,Expenses:Food:Groceries
9/20/2024,egg,250.00,,Expenses:Food:Groceries
9/20/2024,pechay,150.00,,Expenses:Food:Groceries
9/20/2024,carrots,280.00,,Expenses:Food:Groceries
9/20/2024,pomelo,210.00,,Expenses:Food:Groceries
9/20/2024,pinya,210.00,,Expenses:Food:Groceries
9/20/2024,mais,120.00,,Expenses:Food:Groceries
9/20/2024,sayote,140.00,,Expenses:Food:Groceries
9/20/2024,alugbati,45.00,,Expenses:Food:Groceries
9/20/2024,talong,180.00,,Expenses:Food:Groceries
9/20/2024,saba,150.00,,Expenses:Food:Groceries
9/20/2024,tomato,160.00,,Expenses:Food:Groceries
9/20/2024,prawn,1750.00,,Expenses:Food:Groceries
9/20/2024,pampano,690.00,,Expenses:Food:Groceries
9/20/2024,tilapya,510.00,,Expenses:Food:Groceries
9/20/2024,talakitok,700.00,,Expenses:Food:Groceries
9/20/2024,elmer salary,1000.00,,Expenses:Professional Fees
9/20/2024,shadow food,2800.00,,Expenses:Household Supplies:Pet Expenses
9/21/2024,withdraw,,9000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/21/2024,ara food allowance,1000.00,,Liabilities:Other:Ara Loan:Allowance
9/21/2024,michelle food allowance,1000.00,,Liabilities:Other:Michelle Loan:Allowance
9/21/2024,ARC,780.00,,Expenses:Utilities:Drinking Water
9/21/2024,aluminum screen,1680.00,,Expenses:Household Supplies
9/21/2024,Bega cheese,1840.00,,Expenses:Food:Groceries
9/21/2024,Butter anchor,624.00,,Expenses:Food:Groceries
9/21/2024,bacon,886.00,,Expenses:Food:Groceries
9/21/2024,ritual,1000.00,,Expenses:Household Supplies
9/21/2024,del fee,150.00,,Expenses:Professional Fees
9/23/2024,sir gio/ rheyson gym,1000.00,,Expenses:Health:Sports
9/23/2024,ramen del fee,160.00,,Expenses:Professional Fees
9/24/2024,jeeves,1650.00,,Expenses:Professional Fees
9/24/2024,all purpose spray cleaner,535.00,,Expenses:Household Supplies
9/25/2024,withdraw,,20000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/26/2024,baking flour,410.00,,Expenses:Food:Groceries
9/26/2024,almond flour,534.00,,Expenses:Food:Groceries
9/26/2024,coconut flour,370.00,,Expenses:Food:Groceries
9/26/2024,buckwheat flour,525.00,,Expenses:Food:Groceries
9/26/2024,gluten free flour,572.00,,Expenses:Food:Groceries
9/26/2024,butter anchor,624.00,,Expenses:Food:Groceries
9/26/2024,JRS mam B documents,500.00,,Expenses:Professional Fees
9/27/2024,timezone card,1000.00,,Expenses:Childcare:Extracurricular Activities
9/27/2024,withdraw,,10000.00,Assets:Current Assets:Banks Local:BPI ATM House
9/27/2024,soda stream,1250.00,,Expenses:Professional Fees
9/27/2024,del fee,350.00,,Expenses:Professional Fees
9/27/2024,EPS Santis,,2601.00,Expenses:Food:Groceries
9/27/2024,milk,690.00,,Expenses:Food:Groceries
9/27/2024,olives,490.00,,Expenses:Food:Groceries
9/27/2024,chocolate coins,287.00,,Expenses:Food:Groceries
9/27/2024,ham,445.00,,Expenses:Food:Groceries
9/27/2024,mixed salad,283.00,,Expenses:Food:Groceries
9/27/2024,santis taxi,200.00,,Expenses:Transportation:Public
9/27/2024,santis taxi,200.00,,Expenses:Transportation:Public
9/27/2024,flower,550.00,,Expenses:Food:Groceries
9/27/2024,romaine,630.00,,Expenses:Food:Groceries
9/27/2024,lemon,100.00,,Expenses:Food:Groceries
9/27/2024,wansoy,230.00,,Expenses:Food:Groceries
9/27/2024,spring onion,50.00,,Expenses:Food:Groceries
9/27/2024,red onion,180.00,,Expenses:Food:Groceries
9/27/2024,luya,120.00,,Expenses:Food:Groceries
9/27/2024,repolyo,182.00,,Expenses:Food:Groceries
9/27/2024,squash,130.00,,Expenses:Food:Groceries
9/27/2024,pipino,290.00,,Expenses:Food:Groceries
9/27/2024,bell pepper,230.00,,Expenses:Food:Groceries
9/27/2024,apple,150.00,,Expenses:Food:Groceries
9/27/2024,pomelo,210.00,,Expenses:Food:Groceries
9/27/2024,grapes,230.00,,Expenses:Food:Groceries
9/27/2024,orange,150.00,,Expenses:Food:Groceries
9/27/2024,upo,130.00,,Expenses:Food:Groceries
9/27/2024,lakatan,190.00,,Expenses:Food:Groceries
9/27/2024,saba,150.00,,Expenses:Food:Groceries
9/27/2024,celery,178.00,,Expenses:Food:Groceries
9/27/2024,mais,80.00,,Expenses:Food:Groceries
9/27/2024,tomato,180.00,,Expenses:Food:Groceries
9/27/2024,egg,250.00,,Expenses:Food:Groceries
9/27/2024,dragon fruit,280.00,,Expenses:Food:Groceries
9/27/2024,french beans,130.00,,Expenses:Food:Groceries
9/27/2024,asparagus,430.00,,Expenses:Food:Groceries
9/27/2024,cauliflower,350.00,,Expenses:Food:Groceries
9/27/2024,zuchinni,110.00,,Expenses:Food:Groceries
9/27/2024,carrots,180.00,,Expenses:Food:Groceries
9/27/2024,potato,280.00,,Expenses:Food:Groceries
9/27/2024,basil,100.00,,Expenses:Food:Groceries
9/27/2024,lumahan fish,480.00,,Expenses:Food:Groceries
9/27/2024,tulingan fish,680.00,,Expenses:Food:Groceries
9/27/2024,king prawn,1800.00,,Expenses:Food:Groceries
9/27/2024,tilapiya,490.00,,Expenses:Food:Groceries
9/27/2024,mint,100.00,,Expenses:Food:Groceries
9/27/2024,elmer salary,1000.00,,Expenses:Professional Fees
9/27/2024,sir gio fed ex delivery,975.00,,Expenses:Professional Fees
9/27/2024,ARC,720.00,,Expenses:Utilities:Drinking Water
9/27/2024,sir Gio 7'11,193.00,,Expenses:Food:Groceries
9/27/2024,ara food allowance,1000.00,,Liabilities:Other:Ara Loan:Allowance
9/27/2024,michelle food allowance,1000.00,,Liabilities:Other:Michelle Loan:Allowance
9/27/2024,laundry basket,350.00,,Expenses:Household Supplies
9/27/2024,gluten free oatmeal,395.00,,Expenses:Food:Groceries
9/27/2024,gluten free grain Loaf,350.00,,Expenses:Food:Groceries
9/27/2024,rolled oats,795.00,,Expenses:Food:Groceries
9/27/2024,organic greens powder,2175.00,,Expenses:Food:Groceries
9/27/2024,alessi vitamins,1225.00,,Expenses:Health:Medicines
9/28/2024,summit,590.00,,Expenses:Utilities:Drinking Water
9/28/2024,playdate ice cream,345.00,,Expenses:Food:Dining
9/28/2024,taho playdate,120.00,,Expenses:Food:Dining
9/28/2024,adjustment,,104.00,Expenses:Miscellaneous:Adjustment
