Date,Description,Amount (Negated),Amount,Classification
2025-08-18,"LAZADA PH, MAKATI, PH",2680.79,0.0,Expenses:Household Supplies
2025-08-18,"fp*Food Panda, https://wwwde, PH",1720.0,0.0,Expenses:Food:Dining
2025-08-18,"Adobe.com, Saggart, Dubl, IE",441.28,0.0,Expenses:Professional Development & Productivity
2025-08-18,"CLAUDE.AI SUBSCRIPTION, ANTHROPIC.COM, US (USD 20.00)",1182.03,0.0,Expenses:Professional Development & Productivity
2025-08-16,"TAQUERIA FRANCO INC, MAKATI CITY, PH",4139.29,0.0,Expenses:Food:Dining
2025-08-15,"LAZADA PH, MAKATI, PH",0.0,2608.74,Expenses:Household Supplies
2025-08-14,"LAZADA PH, MAKATI, PH",1751.0,0.0,Expenses:Household Supplies
2025-08-14,"HEALTHY OPTIONS ECOM, QUEZONCITY, PH",8866.6,0.0,Expenses:Food:Groceries
2025-08-14,"TEMU.COM, SINGAPORE, SG",2254.0,0.0,Expenses:Household Supplies
2025-08-13,"LAZADA PH, MAKATI, PH",2466.34,0.0,Expenses:Household Supplies
2025-08-12,"INTERCARE CHIROPRACTIC MA, MAKATI CITY, PH",4200.0,0.0,Expenses:Health:Alternative
2025-08-12,"LAZADA PH, MAKATI, PH",1222.0,0.0,Expenses:Household Supplies
2025-08-12,"LAGRIMA BEL AIR, MAKATI, PH",686.25,0.0,Expenses:Food:Dining
2025-08-11,"THE MARKETPLACE AYAL, MAKATI, PH",2297.7,0.0,Expenses:Food:Groceries
2025-08-11,"LAZADA PH, MAKATI, PH",3933.83,0.0,Expenses:Household Supplies
2025-08-11,"LAZADA PH, MAKATI, PH",1173.45,0.0,Expenses:Household Supplies
2025-08-11,"fp*Food Panda, https://wwwde, PH",209.0,0.0,Expenses:Food:Dining
2025-08-11,"NAGI SUSHI AYALA TRIAN, MAKATI, PH",3636.27,0.0,Expenses:Food:Dining
2025-08-11,"PHILIPPINE AIRL-XCRQXI, PASAY, PH",56714.0,0.0,Expenses:Travel:Fare
2025-08-09,"PAYPAL *MYOFFICE, 4029357733, SG",1680.0,0.0,Assets:Investments:Investment in Business
2025-08-09,"SMILE DESIGNER CO INC, MAKATI CITY, PH",4793.6,0.0,Expenses:Health:Dental
